Type of Account,Account History,Reason for the Loan,Loan Amount,Account Savings,Employment History,Individual Stauts,Other Loans,Security / Collateral,Age,Residence Status,Job,Completed Other loan?,Good Loan
No Data,critical,Home furniture,2289,0-200,0-2 Years,Female,No,Savings Account,25,House Owner,Skilled Labor,No,No
No Data,critical,Buying a New Car,699,200-500,5-7 Years,Female,No,Vehicle,50,House Owner,Skilled Labor,No,Yes
No Data,critical,TV,1595,1000+,7+ Years,Male,No,Vehicle,46,House Owner,Skilled Labor,No,Yes
No Data,critical,TV,1917,No Data,2-5 Years,Male,No,Property - Real Estate,34,House Owner,Services,No,Yes
No Data,critical,TV,2875,200-500,7+ Years,Male,No,Property - Real Estate,34,House Owner,Skilled Labor,No,No
No Data,critical,Buying a New Car,1071,0-200,0-2 Years,Female,No,Savings Account,31,House Owner,Skilled Labor,No,No
No Data,critical,Home furniture,3785,1000+,2-5 Years,Male,No,Property - Real Estate,51,House Owner,Skilled Labor,No,No
No Data,critical,TV,1377,0-200,2-5 Years,Male,No,Savings Account,30,House Owner,Skilled Labor,No,No
No Data,critical,TV,1394,0-200,2-5 Years,Female,No,Vehicle,26,House Owner,Skilled Labor,No,No
No Data,critical,Learning / Edu purposes,950,500-1000,7+ Years,Male,No,Vehicle,54,House Owner,Skilled Labor,No,No
No Data,critical,Buying a New Car,1511,0-200,7+ Years,Male,No,Property - Real Estate,39,House Owner,Services,No,No
No Data,critical,Home furniture,1954,0-200,7+ Years,Male,No,Property - Real Estate,43,House Owner,Skilled Labor,No,No
No Data,critical,TV,3080,No Data,2-5 Years,Male,No,Property - Real Estate,35,House Owner,Skilled Labor,No,No
No Data,critical,TV,3359,No Data,7+ Years,Male,No,Vehicle,50,House Owner,Skilled Labor,No,No
No Data,critical,TV,1554,0-200,5-7 Years,Male,No,Property - Real Estate,42,House Owner,Services,No,No
No Data,critical,TV,1295,0-200,2-5 Years,Female,No,Savings Account,35,House Owner,Skilled Labor,No,No
No Data,critical,Support for Business,1189,0-200,2-5 Years,Female,No,Property - Real Estate,29,House Owner,Skilled Labor,No,No
No Data,critical,TV,727,0-200,7+ Years,Male,No,Property - Real Estate,51,House Owner,Skilled Labor,No,No
No Data,critical,TV,2694,0-200,2-5 Years,Male,No,Property - Real Estate,37,House Owner,Services,No,No
No Data,critical,TV,1172,200-500,Unemployed,Female,No,Property - Real Estate,55,House Owner,Services,No,Yes
No Data,critical,Learning / Edu purposes,2750,0-200,7+ Years,Female,No,No Security,59,Free,Services,No,No
No Data,critical,Buying a New Car,1235,0-200,7+ Years,Male,No,Property - Real Estate,33,House Owner,Services,Yes,No
No Data,critical,Support for Business,6324,No Data,7+ Years,Male,No,Property - Real Estate,38,House Owner,Skilled Labor,No,Yes
No Data,critical,Home furniture,1403,500-1000,5-7 Years,Female,No,Vehicle,37,Renting,Skilled Labor,No,No
No Data,critical,TV,2409,0-200,2-5 Years,Female,No,Vehicle,28,House Owner,Skilled Labor,No,No
No Data,critical,Buying a Used Car,3373,1000+,7+ Years,Male,No,No Security,21,Renting,Skilled Labor,No,No
No Data,critical,Home furniture,1525,No Data,7+ Years,Male,No,Savings Account,62,House Owner,Skilled Labor,No,No
No Data,critical,Support for Business,7643,No Data,7+ Years,Divorced,No,Vehicle,47,House Owner,Professional / Management,No,No
No Data,critical,Buying a New Car,10141,500-1000,2-5 Years,Male,No,No Security,45,Free,Skilled Labor,No,No
No Data,critical,Learning / Edu purposes,711,0-200,2-5 Years,Male,No,Vehicle,33,House Owner,Skilled Labor,No,No
No Data,critical,Buying a New Car,1046,0-200,2-5 Years,Female,No,Property - Real Estate,35,House Owner,Skilled Labor,No,No
No Data,critical,Home furniture,5819,No Data,7+ Years,Male,No,Savings Account,51,Renting,Skilled Labor,No,No
No Data,critical,Learning / Edu purposes,1873,200-500,2-5 Years,Female,No,Property - Real Estate,29,House Owner,Skilled Labor,No,No
No Data,critical,Buying a Used Car,11596,200-500,2-5 Years,Female,No,Vehicle,26,Renting,Services,No,No
No Data,critical,TV,1464,0-200,2-5 Years,Female,No,Vehicle,41,House Owner,Services,No,No
No Data,critical,Buying a Used Car,3234,No Data,Unemployed,Male,No,No Security,38,House Owner,Professional / Management,No,No
No Data,critical,TV,2351,No Data,7+ Years,Male,Yes,Property - Real Estate,51,House Owner,Skilled Labor,No,No
No Data,critical,Buying a Used Car,3862,0-200,5-7 Years,Male,No,Vehicle,29,House Owner,Skilled Labor,No,No
No Data,critical,TV,6082,0-200,7+ Years,Male,No,Vehicle,34,House Owner,Skilled Labor,No,No
No Data,critical,Home furniture,2151,0-200,0-2 Years,Female,No,Property - Real Estate,24,Renting,Skilled Labor,No,No
No Data,critical,Buying a New Car,13771,No Data,7+ Years,Male,No,No Security,65,Free,Professional / Management,No,Yes
No Data,critical,Buying a New Car,376,200-500,2-5 Years,Female,No,Vehicle,50,House Owner,Services,No,No
No Data,critical,TV,2253,0-200,2-5 Years,Female,No,Vehicle,23,House Owner,Skilled Labor,No,No
No Data,critical,Home furniture,2419,0-200,Unemployed,Male,No,Vehicle,33,House Owner,Professional / Management,No,No
No Data,critical,TV,1517,1000+,2-5 Years,Female,No,Property - Real Estate,41,House Owner,Services,No,No
No Data,critical,Buying a Used Car,2201,No Data,5-7 Years,Male,No,Vehicle,44,House Owner,Skilled Labor,No,No
No Data,critical,Buying a Used Car,7257,0-200,5-7 Years,Male,No,Vehicle,35,House Owner,Professional / Management,No,No
No Data,critical,Support for Business,2309,0-200,Unemployed,Male,No,Vehicle,42,House Owner,Professional / Management,No,No
No Data,critical,Buying a Used Car,5854,0-200,7+ Years,Male,No,Savings Account,34,House Owner,Skilled Labor,No,No
No Data,critical,TV,2759,0-200,7+ Years,Male,No,Vehicle,29,House Owner,Skilled Labor,No,No
No Data,critical,TV,1159,1000+,2-5 Years,Male,No,Property - Real Estate,48,House Owner,Skilled Labor,No,No
No Data,critical,Renovation,2067,0-200,2-5 Years,Divorced,No,Property - Real Estate,33,House Owner,Skilled Labor,No,No
No Data,critical,Buying a New Car,1304,1000+,7+ Years,Female,No,Property - Real Estate,39,House Owner,Skilled Labor,No,No
No Data,critical,Learning / Edu purposes,1257,No Data,7+ Years,Female,No,Savings Account,40,Renting,Services,No,No
No Data,critical,Buying a Used Car,11059,No Data,2-5 Years,Male,No,Vehicle,28,House Owner,Professional / Management,No,No
No Data,critical,Buying a New Car,1178,500-1000,2-5 Years,Male,No,Property - Real Estate,42,House Owner,Skilled Labor,No,Yes
No Data,critical,TV,1939,0-200,7+ Years,Male,No,No Security,27,House Owner,Skilled Labor,No,No
No Data,critical,TV,1242,200-500,2-5 Years,Female,No,Savings Account,25,House Owner,Skilled Labor,No,Yes
No Data,critical,Home furniture,1590,0-200,5-7 Years,Male,No,Savings Account,42,House Owner,Skilled Labor,No,No
No Data,critical,Home furniture,7146,0-200,0-2 Years,Female,No,Savings Account,22,Renting,Skilled Labor,No,No
No Data,critical,TV,704,No Data,7+ Years,Male,No,No Security,34,Free,Skilled Labor,No,No
No Data,critical,Renovation,5520,0-200,7+ Years,Male,No,No Security,45,Free,Skilled Labor,No,No
No Data,critical,Learning / Edu purposes,1537,200-500,2-5 Years,Female,No,Vehicle,29,House Owner,Skilled Labor,No,No
No Data,critical,TV,1518,0-200,5-7 Years,Male,No,Property - Real Estate,41,House Owner,Services,No,No
No Data,critical,Buying a New Car,1256,0-200,7+ Years,Male,No,Property - Real Estate,61,House Owner,Services,No,No
No Data,critical,Buying a New Car,2028,0-200,2-5 Years,Female,No,Vehicle,39,House Owner,Skilled Labor,No,No
No Data,critical,Buying a Used Car,8877,No Data,5-7 Years,Male,No,No Security,35,Free,Skilled Labor,No,No
No Data,critical,Renovation,1006,No Data,5-7 Years,Female,No,Property - Real Estate,24,House Owner,Skilled Labor,No,No
No Data,critical,TV,2581,1000+,7+ Years,Male,No,Vehicle,34,House Owner,Skilled Labor,No,No
No Data,critical,TV,5968,0-200,5-7 Years,Male,Yes,Vehicle,37,House Owner,Skilled Labor,No,No
No Data,critical,Home furniture,2790,0-200,5-7 Years,Female,Yes,Vehicle,22,House Owner,Skilled Labor,No,No
No Data,critical,Learning / Edu purposes,1943,No Data,2-5 Years,Female,No,Vehicle,31,House Owner,Skilled Labor,No,No
No Data,critical,Buying a New Car,2790,0-200,5-7 Years,Male,No,Savings Account,29,House Owner,Skilled Labor,No,No
No Data,critical,Support for Business,4534,0-200,2-5 Years,Male,No,Property - Real Estate,75,House Owner,Professional / Management,No,No
No Data,critical,Buying a New Car,1541,0-200,2-5 Years,Male,No,Savings Account,30,House Owner,Skilled Labor,No,No
No Data,critical,Home furniture,4043,500-1000,2-5 Years,Male,No,Property - Real Estate,36,House Owner,Skilled Labor,No,Yes
No Data,critical,TV,1867,0-200,5-7 Years,Married,Yes,Vehicle,34,House Owner,Skilled Labor,No,No
No Data,critical,Buying a Used Car,2362,0-200,5-7 Years,Male,No,Vehicle,37,House Owner,Skilled Labor,No,No
No Data,critical,All other,6332,0-200,Unemployed,Male,Yes,No Security,26,House Owner,Professional / Management,No,No
No Data,critical,Support for Business,4141,200-500,2-5 Years,Male,No,Savings Account,26,House Owner,Services,No,No
No Data,critical,Buying a New Car,2084,500-1000,2-5 Years,Married,No,Vehicle,23,House Owner,Skilled Labor,No,No
No Data,critical,TV,4539,0-200,5-7 Years,Female,No,Vehicle,25,Renting,Professional / Management,No,No
No Data,critical,Home furniture,5159,0-200,7+ Years,Male,No,Vehicle,31,House Owner,Skilled Labor,No,No
No Data,critical,TV,5120,0-200,0-2 Years,Married,No,No Security,47,Free,Skilled Labor,No,No
No Data,critical,Buying a New Car,944,0-200,Unemployed,Female,No,Savings Account,36,House Owner,Not Employed,No,No
No Data,critical,TV,1809,0-200,2-5 Years,Male,No,Vehicle,24,House Owner,Skilled Labor,No,No
No Data,critical,TV,630,500-1000,7+ Years,Male,No,Savings Account,34,House Owner,Professional / Management,No,No
No Data,critical,Buying a Used Car,7615,No Data,7+ Years,Male,No,Vehicle,64,House Owner,Skilled Labor,No,No
No Data,critical,TV,3090,No Data,7+ Years,Male,No,Vehicle,42,House Owner,Skilled Labor,No,No
No Data,critical,Buying a New Car,254,1000+,2-5 Years,Female,No,Property - Real Estate,40,House Owner,Services,No,No
No Data,critical,TV,1324,500-1000,2-5 Years,Married,No,Savings Account,48,House Owner,Services,No,Yes
No Data,critical,Buying a New Car,3399,0-200,5-7 Years,Female,No,Property - Real Estate,35,House Owner,Skilled Labor,No,No
No Data,critical,Buying a New Car,6774,0-200,5-7 Years,Male,No,No Security,46,House Owner,Professional / Management,No,No
No Data,critical,TV,5790,0-200,5-7 Years,Female,No,Vehicle,27,House Owner,Skilled Labor,No,No
No Data,critical,Buying a New Car,5051,No Data,7+ Years,Female,No,Vehicle,59,House Owner,Skilled Labor,No,No
No Data,critical,Buying a New Car,12693,No Data,7+ Years,Male,No,No Security,30,Free,Professional / Management,No,No
No Data,critical,Buying a New Car,2473,200-500,5-7 Years,Married,No,Savings Account,26,House Owner,Skilled Labor,No,No
No Data,critical,TV,1672,0-200,7+ Years,Male,No,Property - Real Estate,65,House Owner,Services,No,No
No Data,critical,Buying a Used Car,3282,0-200,7+ Years,Male,No,Vehicle,35,House Owner,Professional / Management,No,No
No Data,critical,TV,2238,200-500,7+ Years,Male,No,Savings Account,52,House Owner,Skilled Labor,No,No
No Data,critical,Buying a New Car,3545,0-200,5-7 Years,Male,No,Vehicle,35,House Owner,Skilled Labor,No,No
No Data,critical,Buying a Used Car,5723,1000+,7+ Years,Male,No,Vehicle,37,House Owner,Professional / Management,No,No
No Data,critical,Buying a New Car,1941,1000+,7+ Years,Male,No,Property - Real Estate,62,House Owner,Skilled Labor,No,No
No Data,critical,Buying a Used Car,2771,No Data,7+ Years,Male,No,Vehicle,39,House Owner,Skilled Labor,No,No
No Data,critical,Home furniture,1241,No Data,2-5 Years,Married,No,Savings Account,25,House Owner,Skilled Labor,No,No
No Data,critical,Home furniture,1259,0-200,0-2 Years,Female,No,Savings Account,21,Renting,Services,No,No
No Data,critical,Learning / Edu purposes,1606,0-200,7+ Years,Male,No,No Security,53,Free,Skilled Labor,No,No
No Data,critical,TV,996,No Data,7+ Years,Male,No,Vehicle,33,House Owner,Skilled Labor,No,No
No Data,critical,TV,940,No Data,7+ Years,Male,No,Property - Real Estate,63,House Owner,Skilled Labor,No,Yes
No Data,critical,TV,1569,0-200,5-7 Years,Female,No,Vehicle,26,Renting,Skilled Labor,No,No
No Data,critical,Home furniture,3790,0-200,0-2 Years,Divorced,No,Vehicle,35,House Owner,Professional / Management,No,No
No Data,critical,TV,2614,0-200,7+ Years,Married,Yes,Property - Real Estate,45,House Owner,Skilled Labor,No,No
No Data,critical,Buying a Used Car,4043,No Data,5-7 Years,Male,No,Savings Account,42,House Owner,Skilled Labor,No,No
No Data,critical,TV,1491,0-200,2-5 Years,Male,No,No Security,35,Free,Skilled Labor,No,No
No Data,critical,Home furniture,3360,0-200,2-5 Years,Male,No,No Security,30,Free,Skilled Labor,No,No
No Data,critical,Buying a Used Car,5821,1000+,2-5 Years,Male,No,Property - Real Estate,28,House Owner,Skilled Labor,No,No
No Data,critical,Home furniture,4541,1000+,0-2 Years,Male,No,Property - Real Estate,33,House Owner,Services,No,No
No Data,critical,Home furniture,3339,0-200,7+ Years,Male,No,Savings Account,43,House Owner,Skilled Labor,No,No
No Data,critical,TV,6749,No Data,5-7 Years,Male,No,Savings Account,37,House Owner,Skilled Labor,No,No
No Data,critical,TV,1112,0-200,Unemployed,Female,No,Vehicle,67,House Owner,Not Employed,No,No
No Data,critical,Buying a New Car,6631,0-200,7+ Years,Male,No,Vehicle,36,House Owner,Professional / Management,No,No
No Data,critical,TV,1842,0-200,7+ Years,Male,No,Vehicle,44,House Owner,Skilled Labor,No,No
No Data,critical,TV,1186,No Data,2-5 Years,Male,No,Savings Account,31,House Owner,Skilled Labor,No,No
No Data,critical,Home furniture,1605,1000+,5-7 Years,Female,No,Savings Account,37,House Owner,Skilled Labor,Yes,No
No Data,critical,Buying a New Car,3499,No Data,0-2 Years,Divorced,No,Property - Real Estate,44,House Owner,Skilled Labor,No,No
No Data,critical,Buying a Used Car,10495,No Data,7+ Years,Male,No,No Security,41,Free,Skilled Labor,No,Yes
No Data,critical,Home furniture,1830,0-200,2-5 Years,Female,No,No Security,28,House Owner,Skilled Labor,No,No
No Data,critical,Buying a New Car,1238,0-200,2-5 Years,Male,No,Property - Real Estate,32,House Owner,Skilled Labor,No,No
No Data,critical,TV,536,500-1000,7+ Years,Male,No,Savings Account,41,House Owner,Skilled Labor,No,No
No Data,critical,Buying a Used Car,6849,No Data,2-5 Years,Male,No,Savings Account,45,House Owner,Professional / Management,No,No
No Data,critical,Buying a New Car,1474,0-200,5-7 Years,Male,No,Property - Real Estate,44,House Owner,Services,No,No
No Data,critical,TV,1744,0-200,7+ Years,Married,No,Property - Real Estate,28,Renting,Skilled Labor,No,No
No Data,critical,TV,2844,0-200,2-5 Years,Female,No,Vehicle,35,House Owner,Skilled Labor,No,No
No Data,critical,Home furniture,2034,0-200,5-7 Years,Male,No,Savings Account,31,House Owner,Services,No,No
No Data,critical,Learning / Edu purposes,3570,No Data,0-2 Years,Male,No,Savings Account,36,House Owner,Services,No,No
Type A,Average (known delays),TV,423,1000+,2-5 Years,Female,No,Property - Real Estate,40,Renting,Skilled Labor,No,No
Type A,Good,Home furniture,1481,0-200,0-2 Years,Female,No,Savings Account,32,House Owner,Professional / Management,No,No
Type A,Good,TV,2109,0-200,2-5 Years,Male,Yes,Property - Real Estate,35,House Owner,Skilled Labor,No,No
Type A,Good,Home Devices,1238,0-200,2-5 Years,Male,No,Vehicle,35,House Owner,Skilled Labor,No,No
Type A,Good,Buying a New Car,1978,0-200,7+ Years,Female,No,Vehicle,25,House Owner,Professional / Management,No,No
Type A,critical,Home furniture,3637,No Data,7+ Years,Male,Yes,No Security,18,Renting,Skilled Labor,No,No
Type A,Good,Learning / Edu purposes,411,0-200,0-2 Years,Female,No,Savings Account,25,Renting,Skilled Labor,No,Yes
Type A,critical,Buying a New Car,783,0-200,7+ Years,Male,No,No Security,61,Free,Skilled Labor,No,No
Type A,Good,TV,1887,0-200,2-5 Years,Female,No,Vehicle,43,Renting,Services,No,Yes
Type A,Good,Buying a New Car,729,1000+,0-2 Years,Married,No,Property - Real Estate,25,House Owner,Not Employed,Yes,Yes
Type A,Good,TV,5858,0-200,2-5 Years,Male,No,Vehicle,24,House Owner,Skilled Labor,No,Yes
Type A,Average (known delays),Support for Business,1914,0-200,7+ Years,Male,No,Property - Real Estate,66,House Owner,Professional / Management,No,No
Type A,Good,TV,3924,0-200,2-5 Years,Male,No,Property - Real Estate,22,House Owner,Skilled Labor,No,Yes
Type A,Good,TV,4228,0-200,2-5 Years,Male,No,Vehicle,24,House Owner,Skilled Labor,No,No
Type A,Good,Home furniture,1944,0-200,2-5 Years,Male,No,Property - Real Estate,26,House Owner,Skilled Labor,No,Yes
Type A,Good,Home furniture,2258,0-200,2-5 Years,Female,No,Vehicle,47,House Owner,Services,No,Yes
Type A,Average (known delays),TV,1452,No Data,5-7 Years,Male,No,Vehicle,47,House Owner,Services,No,Yes
Type A,critical,Buying a Used Car,4799,0-200,7+ Years,Male,No,No Security,55,Free,Skilled Labor,No,No
Type A,critical,Buying a New Car,1347,No Data,5-7 Years,Male,No,Property - Real Estate,37,House Owner,Services,No,No
Type A,Good,Home furniture,3761,0-200,0-2 Years,Female,No,Vehicle,26,House Owner,Skilled Labor,No,Yes
Type A,Good,Buying a New Car,1512,No Data,0-2 Years,Male,No,Property - Real Estate,28,House Owner,Services,Yes,Yes
Type A,Good,TV,4485,0-200,7+ Years,Male,No,Vehicle,29,House Owner,Skilled Labor,No,Yes
Type A,Good,Buying a New Car,3957,0-200,0-2 Years,Male,Yes,Savings Account,37,House Owner,Services,No,Yes
Type A,Good,TV,3410,No Data,7+ Years,Male,No,Vehicle,39,House Owner,Professional / Management,No,Yes
Type A,Average (known delays),Buying a New Car,2266,0-200,2-5 Years,Female,No,Vehicle,35,House Owner,Skilled Labor,No,No
Type A,Good,Buying a New Car,1331,0-200,0-2 Years,Male,No,Property - Real Estate,25,House Owner,Skilled Labor,No,Yes
Type A,critical,Buying a New Car,959,500-1000,5-7 Years,Married,No,Property - Real Estate,30,House Owner,Skilled Labor,No,No
Type A,Average (known delays),Support for Business,613,0-200,0-2 Years,Female,No,Property - Real Estate,25,House Owner,Not Employed,No,No
Type A,Good,Home furniture,1443,No Data,7+ Years,Female,No,Property - Real Estate,53,House Owner,Professional / Management,No,Yes
Type A,Good,TV,5159,0-200,5-7 Years,Male,No,Vehicle,25,House Owner,Skilled Labor,No,Yes
Type A,critical,Buying a New Car,1324,200-500,7+ Years,Divorced,No,Vehicle,27,House Owner,Skilled Labor,No,Yes
Type A,Good,TV,1138,200-500,7+ Years,Divorced,No,Property - Real Estate,49,House Owner,Skilled Labor,No,Yes
Type A,critical,Buying a Used Car,2367,500-1000,2-5 Years,Male,No,Vehicle,34,House Owner,Skilled Labor,No,Yes
Type A,Good,Support for Business,2692,0-200,5-7 Years,Male,No,Savings Account,28,Renting,Skilled Labor,No,Yes
Type A,critical,Learning / Edu purposes,2320,0-200,0-2 Years,Divorced,No,Vehicle,32,Renting,Skilled Labor,No,No
Type A,Good,Home furniture,3064,0-200,0-2 Years,Female,No,Savings Account,46,House Owner,Services,No,Yes
Type A,Good,Home furniture,2872,0-200,2-5 Years,Male,No,Property - Real Estate,32,House Owner,Services,No,No
Type A,Average (known delays),TV,700,0-200,0-2 Years,Female,No,Savings Account,28,House Owner,Skilled Labor,No,No
Type A,Good,Home furniture,1276,0-200,0-2 Years,Female,No,Savings Account,24,House Owner,Skilled Labor,No,Yes
Type A,Good,Buying a New Car,1250,200-500,7+ Years,Female,No,No Security,46,Free,Services,No,No
Type A,Good,Home furniture,2122,0-200,2-5 Years,Male,No,Property - Real Estate,40,House Owner,Skilled Labor,No,Yes
Type A,Good,Buying a New Car,966,0-200,5-7 Years,Male,No,No Security,36,Free,Skilled Labor,No,No
Type A,Good,TV,1316,0-200,2-5 Years,Married,No,Property - Real Estate,23,Renting,Skilled Labor,No,Yes
Type A,critical,Learning / Edu purposes,1057,0-200,2-5 Years,Female,No,Savings Account,52,House Owner,Services,No,No
Type A,critical,TV,3033,0-200,7+ Years,Male,No,Savings Account,46,House Owner,Skilled Labor,No,No
Type A,critical,TV,1349,No Data,5-7 Years,Male,No,Savings Account,29,House Owner,Skilled Labor,No,Yes
Type A,Good,Learning / Edu purposes,1914,0-200,7+ Years,Male,No,Vehicle,42,Renting,Professional / Management,No,Yes
Type A,Good,TV,1394,200-500,7+ Years,Female,No,No Security,47,Free,Skilled Labor,No,Yes
Type A,critical,TV,3161,No Data,2-5 Years,Male,No,Vehicle,29,House Owner,Skilled Labor,No,Yes
Type A,Good,TV,1353,0-200,0-2 Years,Male,No,Vehicle,34,House Owner,Professional / Management,No,No
Type A,critical,Support for Business,1290,1000+,2-5 Years,Divorced,No,Property - Real Estate,35,House Owner,Skilled Labor,No,Yes
Type A,critical,Buying a New Car,1305,0-200,2-5 Years,Male,No,Property - Real Estate,74,House Owner,Not Employed,Yes,No
Type A,critical,TV,1272,No Data,2-5 Years,Male,No,No Security,40,Free,Skilled Labor,No,No
Type A,critical,Buying a New Car,1484,500-1000,Unemployed,Male,No,No Security,68,Free,Not Employed,No,Yes
Type A,Good,Home furniture,2903,0-200,7+ Years,Divorced,No,No Security,53,Free,Skilled Labor,No,Yes
Type A,Good,TV,3018,0-200,2-5 Years,Married,No,Vehicle,26,House Owner,Skilled Labor,No,Yes
Type A,Good,TV,2341,0-200,0-2 Years,Female,No,Property - Real Estate,24,House Owner,Services,No,No
Type A,critical,Buying a New Car,1356,0-200,7+ Years,Male,No,Property - Real Estate,47,House Owner,Skilled Labor,Yes,No
Type A,Good,TV,746,0-200,2-5 Years,Female,No,Property - Real Estate,26,House Owner,Services,No,No
Type A,critical,TV,3674,No Data,7+ Years,Male,No,Savings Account,51,House Owner,Services,No,Yes
Type A,Good,TV,1260,500-1000,2-5 Years,Female,No,Vehicle,56,House Owner,Services,No,Yes
Type A,Good,Buying a New Car,2939,200-500,2-5 Years,Female,No,Vehicle,28,House Owner,Professional / Management,No,Yes
Type A,Good,Support for Business,6298,0-200,0-2 Years,Divorced,No,Savings Account,34,House Owner,Skilled Labor,No,Yes
Type A,Good,Learning / Edu purposes,9067,No Data,2-5 Years,Male,No,No Security,37,Free,Services,No,Yes
Type A,Good,Home furniture,2838,500-1000,7+ Years,Male,No,Savings Account,55,House Owner,Skilled Labor,No,Yes
Type A,Good,TV,3078,1000+,5-7 Years,Divorced,No,Property - Real Estate,63,House Owner,Services,No,Yes
Type A,Good,TV,3439,500-1000,7+ Years,Male,No,Vehicle,29,House Owner,Skilled Labor,No,Yes
Type A,Good,TV,438,0-200,7+ Years,Married,No,Vehicle,38,House Owner,Services,No,Yes
Type A,Good,TV,2340,500-1000,7+ Years,Male,No,Vehicle,28,House Owner,Professional / Management,No,Yes
Type A,Good,TV,2307,500-1000,7+ Years,Male,No,Vehicle,39,House Owner,Skilled Labor,No,Yes
Type A,Good,TV,2093,200-500,2-5 Years,Female,Yes,Property - Real Estate,27,House Owner,Skilled Labor,No,Yes
Type A,Good,TV,1281,0-200,2-5 Years,Male,No,Vehicle,23,House Owner,Skilled Labor,No,Yes
Type A,Good,Buying a Used Car,3382,No Data,2-5 Years,Male,No,Savings Account,32,House Owner,Skilled Labor,No,Yes
Type A,Good,TV,3192,0-200,0-2 Years,Female,No,Savings Account,27,House Owner,Skilled Labor,No,Yes
Type A,Good,Renovation,5198,No Data,7+ Years,Male,No,Savings Account,49,House Owner,Skilled Labor,No,Yes
Type A,Good,TV,2181,0-200,0-2 Years,Female,No,Vehicle,27,House Owner,Skilled Labor,No,Yes
Type A,Good,Learning / Edu purposes,1838,0-200,2-5 Years,Male,No,No Security,35,Free,Skilled Labor,No,No
Type A,Good,TV,2413,No Data,2-5 Years,Female,No,Vehicle,27,House Owner,Skilled Labor,No,Yes
Type A,Good,Buying a Used Car,8136,0-200,2-5 Years,Female,No,Savings Account,32,House Owner,Skilled Labor,No,Yes
Type A,Good,Buying a Used Car,9447,No Data,2-5 Years,Male,No,Savings Account,39,House Owner,Services,No,Yes
Type A,Good,TV,5959,No Data,0-2 Years,Female,No,Vehicle,43,House Owner,Skilled Labor,No,No
Type A,Good,TV,1223,500-1000,7+ Years,Male,No,Savings Account,49,House Owner,Skilled Labor,No,Yes
Type A,Good,Home furniture,2724,0-200,0-2 Years,Male,No,Savings Account,26,House Owner,Services,No,Yes
Type A,Good,Home furniture,2003,0-200,2-5 Years,Male,No,No Security,49,Free,Skilled Labor,No,Yes
Type A,Good,TV,10146,200-500,5-7 Years,Female,No,Property - Real Estate,22,House Owner,Skilled Labor,No,Yes
Type A,Good,TV,1348,200-500,7+ Years,Male,No,No Security,44,Free,Skilled Labor,No,Yes
Type A,Good,TV,1929,0-200,2-5 Years,Male,No,Savings Account,37,House Owner,Skilled Labor,Yes,Yes
Type A,Good,Home Devices,1267,500-1000,5-7 Years,Male,No,Savings Account,34,House Owner,Skilled Labor,No,Yes
Type A,Good,Buying a New Car,929,500-1000,7+ Years,Male,No,Savings Account,35,House Owner,Skilled Labor,No,Yes
Type A,Good,Home furniture,2991,500-1000,2-5 Years,Male,No,Vehicle,33,House Owner,Skilled Labor,No,Yes
Type A,Good,Home furniture,783,0-200,2-5 Years,Female,No,Property - Real Estate,27,House Owner,Skilled Labor,No,Yes
