Date,Day_Name,Visitors,Revenue,Marketing Spend,Promo
27/01/2021,Wednesday,1084,7049,881.125,No Promo
28/01/2021,Thursday,1864,12832,1425.777778,No Promo
29/01/2021,Friday,1844,13024,1447.111111,No Promo
30/01/2021,Saturday,1065,7074,786,No Promo
31/01/2021,Sunday,1582,9316,1035.111111,No Promo
01/02/2021,Monday,1407,10479,1047.9,Promotion Blue
02/02/2021,Tuesday,1496,12783,1162.090909,Promotion Blue
03/02/2021,Wednesday,2176,18678,1698,Promotion Blue
04/02/2021,Thursday,2010,14696,1336,No Promo
05/02/2021,Friday,2015,17661,2207.625,Promotion Red
06/02/2021,Saturday,1488,9095,909.5,Promotion Red
07/02/2021,Sunday,1608,9199,836.2727273,No Promo
08/02/2021,Monday,1337,9294,929.4,No Promo
09/02/2021,Tuesday,2266,20860,2317.777778,Promotion Blue
10/02/2021,Wednesday,1925,13602,1511.333333,Promotion Blue
11/02/2021,Thursday,826,6546,818.25,No Promo
12/02/2021,Friday,1387,10310,937.2727273,No Promo
13/02/2021,Saturday,599,3392,424,No Promo
14/02/2021,Sunday,968,5772,524.7272727,Promotion Red
15/02/2021,Monday,1482,9987,907.9090909,Promotion Red
16/02/2021,Tuesday,1420,8422,935.7777778,No Promo
17/02/2021,Wednesday,1171,7809,780.9,No Promo
18/02/2021,Thursday,2395,24247,3030.875,Promotion Blue
19/02/2021,Friday,2029,14706,1336.909091,No Promo
20/02/2021,Saturday,1047,6427,803.375,No Promo
21/02/2021,Sunday,1464,7462,829.1111111,No Promo
22/02/2021,Monday,1428,8371,837.1,No Promo
23/02/2021,Tuesday,1154,9135,1015,Promotion Red
24/02/2021,Wednesday,1841,13719,1371.9,Promotion Blue
25/02/2021,Thursday,2248,20237,2529.625,Promotion Blue
26/02/2021,Friday,2553,26608,2418.909091,Promotion Blue
27/02/2021,Saturday,1797,12789,1278.9,Promotion Red
28/02/2021,Sunday,1912,12036,1337.333333,No Promo
01/03/2021,Monday,1786,13212,1468,Promotion Blue
02/03/2021,Tuesday,1096,6155,615.5,No Promo
03/03/2021,Wednesday,1068,8223,822.3,Promotion Red
04/03/2021,Thursday,1976,16727,1672.7,Promotion Blue
05/03/2021,Friday,1806,15474,1719.333333,Promotion Blue
06/03/2021,Saturday,1621,12850,1427.777778,Promotion Blue
07/03/2021,Sunday,1001,6681,668.1,No Promo
08/03/2021,Monday,1477,8338,926.4444444,No Promo
09/03/2021,Tuesday,1401,8569,779,No Promo
10/03/2021,Wednesday,2190,17752,1613.818182,Promotion Red
11/03/2021,Thursday,2439,25704,2570.4,Promotion Blue
12/03/2021,Friday,2220,15302,1912.75,No Promo
13/03/2021,Saturday,2732,28196,3524.5,Promotion Blue
14/03/2021,Sunday,967,7878,787.8,Promotion Blue
15/03/2021,Monday,1544,8083,734.8181818,No Promo
16/03/2021,Tuesday,1455,7518,939.75,No Promo
17/03/2021,Wednesday,2194,14608,1826,No Promo
18/03/2021,Thursday,1923,14909,1490.9,Promotion Red
19/03/2021,Friday,685,5903,590.3,Promotion Red
20/03/2021,Saturday,543,4169,521.125,Promotion Red
21/03/2021,Sunday,1472,9486,862.3636364,Promotion Red
22/03/2021,Monday,1368,9209,1151.125,Promotion Red
23/03/2021,Tuesday,1454,11494,1277.111111,Promotion Blue
24/03/2021,Wednesday,2080,15190,1519,Promotion Red
25/03/2021,Thursday,2611,22701,2837.625,Promotion Red
26/03/2021,Friday,2434,22587,2258.7,Promotion Blue
27/03/2021,Saturday,1437,7820,868.8888889,No Promo
28/03/2021,Sunday,1642,14587,1620.777778,Promotion Blue
29/03/2021,Monday,1320,9262,842,Promotion Red
30/03/2021,Tuesday,1363,7794,866,No Promo
31/03/2021,Wednesday,2068,14957,1869.625,Promotion Red
01/04/2021,Thursday,2311,23368,2921,Promotion Blue
02/04/2021,Friday,2091,15782,1972.75,No Promo
03/04/2021,Saturday,1532,12027,1336.333333,Promotion Red
04/04/2021,Sunday,1406,7545,754.5,No Promo
05/04/2021,Monday,1180,8396,763.2727273,Promotion Red
06/04/2021,Tuesday,1244,8828,882.8,Promotion Red
07/04/2021,Wednesday,1812,16777,1677.7,Promotion Red
08/04/2021,Thursday,2273,19843,1803.909091,Promotion Red
09/04/2021,Friday,2158,23870,2652.222222,Promotion Blue
10/04/2021,Saturday,1625,10431,1043.1,No Promo
11/04/2021,Sunday,1485,11221,1020.090909,Promotion Blue
12/04/2021,Monday,1499,10027,1114.111111,Promotion Red
13/04/2021,Tuesday,1511,11484,1148.4,Promotion Blue
14/04/2021,Wednesday,1803,16347,1634.7,Promotion Blue
15/04/2021,Thursday,2101,15828,1758.666667,No Promo
16/04/2021,Friday,1915,14714,1337.636364,No Promo
17/04/2021,Saturday,1509,9520,865.4545455,No Promo
18/04/2021,Sunday,1399,12251,1531.375,Promotion Blue
19/04/2021,Monday,1648,9645,964.5,Promotion Red
20/04/2021,Tuesday,1154,7058,784.2222222,No Promo
21/04/2021,Wednesday,1122,6591,732.3333333,No Promo
22/04/2021,Thursday,2302,24506,2227.818182,Promotion Blue
23/04/2021,Friday,1942,14358,1595.333333,No Promo
24/04/2021,Saturday,1345,9360,850.9090909,Promotion Red
25/04/2021,Sunday,1166,11650,1059.090909,Promotion Blue
26/04/2021,Monday,1105,8438,843.8,No Promo
27/04/2021,Tuesday,1256,8046,731.4545455,Promotion Red
28/04/2021,Wednesday,1236,9540,1060,Promotion Blue
29/04/2021,Thursday,2139,22655,2059.545455,Promotion Blue
30/04/2021,Friday,1836,19167,1916.7,Promotion Blue
01/05/2021,Saturday,1380,8862,805.6363636,No Promo
02/05/2021,Sunday,1423,12111,1513.875,Promotion Red
03/05/2021,Monday,1382,11273,1024.818182,Promotion Red
04/05/2021,Tuesday,2152,13805,1533.888889,No Promo
05/05/2021,Wednesday,1400,11196,1119.6,No Promo
06/05/2021,Thursday,2244,18611,2067.888889,Promotion Red
07/05/2021,Friday,2023,14502,1450.2,No Promo
08/05/2021,Saturday,1483,8975,1121.875,No Promo
09/05/2021,Sunday,1303,6968,871,No Promo
