Date,Week,Week_ID,Month,Month_ID,Year,Day_Name,Visitors,Revenue,Marketing Spend,Promo
30/04/2021,18,59,4,16,2021,Friday,1836,16542,1916.7,Promotion Blue
01/05/2021,18,59,5,17,2021,Saturday,1380,7445,805.6363636,No Promo
02/05/2021,19,60,5,17,2021,Sunday,1423,12111,1513.875,Promotion Red
03/05/2021,19,60,5,17,2021,Monday,1382,11273,1024.818182,Promotion Red
04/05/2021,19,60,5,17,2021,Tuesday,2152,3215,1533.888889,No Promo
05/05/2021,19,60,5,17,2021,Wednesday,1400,7284,1119.6,No Promo
06/05/2021,19,60,5,17,2021,Thursday,2244,13021,2067.888889,Promotion Red
07/05/2021,19,60,5,17,2021,Friday,2023,4587,1450.2,No Promo
08/05/2021,19,60,5,17,2021,Saturday,1483,5927,1121.875,No Promo
09/05/2021,20,61,5,17,2021,Sunday,1303,3861,871,No Promo
